
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[2]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[3]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[4]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[5]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[6]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[7]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[8]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[9]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[11]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[12]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[13]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[14]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[15]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[16]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[17]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[18]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[19]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[20]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
============================================================================================================
2018-07-13 11:26:42 - Function time
Elapsed time: 0:00:15
Total time:   0:00:15
============================================================================================================

> Connect stages and introduce inter-stage flow
============================================================================================================
2018-07-13 11:26:47 - Function time
Elapsed time: 0:00:05
Total time:   0:00:20
============================================================================================================

> Working on PR ratio = 0.80
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.779		0.1194	0.0012	0.0051		20.000
React-ive[2]		220.0	-43.2	0.2660	0.779		0.1194	0.0015	0.0061		20.000
React-ive[3]		220.0	-43.2	0.2660	0.779		0.1194	0.0015	0.0063		20.000
React-ive[4]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[5]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[6]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[7]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[8]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[9]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[10]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[11]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[12]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[13]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[14]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[15]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[16]		220.0	-43.2	0.2660	0.779		0.1193	0.0016	0.0064		20.000
